揉む<div class="hint">rub; massage</div>,もむ,rub; massage,<ruby>肩<rt>かた</rt></ruby>を <ruby>揉<rt>も</rt></ruby>んでください。,Please massage my shoulders.,verb
時効<div class="hint">prescription</div>,じこう,prescription,<ruby>事件<rt>じけん</rt></ruby>の <ruby>時効<rt>じこう</rt></ruby>が <ruby>迫<rt>せま</rt></ruby>っています。,The statute of limitations on that incident is approaching.,
自覚<div class="hint">awareness</div>,じかく,awareness,まだ <ruby>子供<rt>こども</rt></ruby>だから <ruby>悪<rt>わる</rt></ruby>い <ruby>事<rt>こと</rt></ruby>をしたという <ruby>自覚<rt>じかく</rt></ruby>がないんだ。,He has no awareness of having done a bad thing because he is still a child.,
自白<div class="hint">admission; confession</div>,じはく,admission; confession,<ruby>容疑<rt>ようぎ</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>はついに <ruby>犯行<rt>はんこう</rt></ruby>を <ruby>自白<rt>じはく</rt></ruby>した。,The suspect finally confessed the crime.,
自営業<div class="hint">self-employment</div>,じえいぎょう,self-employment,<ruby>自営業<rt>じえいぎょう</rt></ruby>は <ruby>自由<rt>じゆう</rt></ruby>だが <ruby>収入<rt>しゅうにゅう</rt></ruby>が <ruby>不安定<rt>ふあんてい</rt></ruby>だ。,Self-employment brings freedom but the income is unstable.,
由<div class="hint">means; reason</div>,よし,means; reason,<ruby>彼<rt>かれ</rt></ruby>の <ruby>居場所<rt>いばしょ</rt></ruby>なんて <ruby>知<rt>し</rt></ruby>る <ruby>由<rt>よし</rt></ruby>もありません。,I have no way of finding out his whereabouts.,
由来<div class="hint">history; origin</div>,ゆらい,history; origin,<ruby>七夕<rt>たなばた</rt></ruby>の <ruby>由来<rt>ゆらい</rt></ruby>を <ruby>調<rt>しら</rt></ruby>べています。,I researched the origins of the Tanabata Festival.,
送信<div class="hint">transmission</div>,そうしん,transmission,<ruby>社長<rt>しゃちょう</rt></ruby>が <ruby>全<rt>ぜん</rt></ruby> <ruby>社員<rt>しゃいん</rt></ruby>にメールを <ruby>送信<rt>そうしん</rt></ruby>した。,The president sent an email to all employees.,
返信<div class="hint">answer; reply</div>,へんしん,answer; reply,すぐに <ruby>彼<rt>かれ</rt></ruby>からのメールに <ruby>返信<rt>へんしん</rt></ruby>した。,I replied to the email from him immediately.,
受信<div class="hint">reception</div>,じゅしん,reception,<ruby>今日<rt>きょう</rt></ruby>はたくさんのメールを <ruby>受信<rt>じゅしん</rt></ruby>した。,I received a lot of emails today.,
発信<div class="hint">sending of a letter</div>,はっしん,sending of a letter,そのサイトでは <ruby>新<rt>あたら</rt></ruby>しい <ruby>情報<rt>じょうほう</rt></ruby>を <ruby>毎日<rt>まいにち</rt></ruby> <ruby>発信<rt>はっしん</rt></ruby>しています。,They send new information to the site every day.,
不信<div class="hint">discredit; distrust</div>,ふしん,discredit; distrust,<ruby>私<rt>わたし</rt></ruby>は <ruby>最近<rt>さいきん</rt></ruby> <ruby>女性<rt>じょせい</rt></ruby> <ruby>不信<rt>ふしん</rt></ruby>です。,I don't trust women these days.,
信者<div class="hint">adherent; believer</div>,しんじゃ,adherent; believer,<ruby>彼<rt>かれ</rt></ruby>は イスラム<ruby>教<rt>いすらむきょう</rt></ruby>の <ruby>信者<rt>しんじゃ</rt></ruby>です。,He is a believer of Islam.,
テクニック<div class="hint">technique</div>,てくにっく,technique,<ruby>彼<rt>かれ</rt></ruby>は <ruby>優<rt>すぐ</rt></ruby>れたテクニックの <ruby>持ち<ruby>主<rt>もちぬし</rt></ruby>です。,He has excellent technique.,
依然<div class="hint">as before</div>,いぜん,as before,<ruby>彼女<rt>かのじょ</rt></ruby>からは <ruby>依然<rt>いぜん</rt></ruby>として <ruby>連絡<rt>れんらく</rt></ruby>がない。,There is still no contact from her.,
移民<div class="hint">immigration</div>,いみん,immigration,<ruby>彼<rt>かれ</rt></ruby>らは <ruby>南米<rt>なんべい</rt></ruby>からの <ruby>移民<rt>いみん</rt></ruby>です。,They are immigrants from South America.,
民法<div class="hint">civil law</div>,みんぽう,civil law,<ruby>彼<rt>かれ</rt></ruby>は <ruby>民法<rt>みんぽう</rt></ruby>に <ruby>詳<rt>くわ</rt></ruby>しいです。,He is well-informed about civil law.,
難民<div class="hint">refugee</div>,なんみん,refugee,あの <ruby>国<rt>くに</rt></ruby>は <ruby>難民<rt>なんみん</rt></ruby>を <ruby>受け<ruby>入<rt>うけい</rt></ruby>れている。,That country is accepting refugees.,
主<div class="hint">master; owner</div>,ぬし,master; owner,その <ruby>魚<rt>さかな</rt></ruby>は <ruby>沼<rt>ぬま</rt></ruby>の <ruby>主<rt>ぬし</rt></ruby>といわれています。,This fish is known as the lord of the marsh.,
主<div class="hint">master</div>,あるじ,master,この <ruby>店<rt>みせ</rt></ruby>の <ruby>主<rt>あるじ</rt></ruby>は 3 <ruby>代目<rt>だいめ</rt></ruby>だそうだ。,Apparently; the owner of that shop is the third generation of his family to own it.,
株主<div class="hint">stockholder</div>,かぶぬし,stockholder,<ruby>株主<rt>かぶぬし</rt></ruby> <ruby>総会<rt>そうかい</rt></ruby>が <ruby>開<rt>ひら</rt></ruby>かれた。,The shareholders' meeting was opened.,
地主<div class="hint">landlord; landowner</div>,じぬし,landlord; landowner,<ruby>地主<rt>じぬし</rt></ruby>がこの <ruby>土地<rt>とち</rt></ruby>を <ruby>売<rt>う</rt></ruby>るそうだ。,I hear that the landowner will sell this land.,
主として<div class="hint">chiefly; mainly</div>,しゅとして,chiefly; mainly,<ruby>海外<rt>かいがい</rt></ruby> <ruby>出張<rt>しゅっちょう</rt></ruby> <ruby>中<rt>ちゅう</rt></ruby>は <ruby>会社<rt>かいしゃ</rt></ruby>との <ruby>連絡<rt>れんらく</rt></ruby>は <ruby>主<rt>しゅ</rt></ruby>として Eメールを <ruby>使<rt>つか</rt></ruby>う。,I usually use email to contact the company when I am on a business trip overseas.,
名義<div class="hint">name; title</div>,めいぎ,name; title,この <ruby>家<rt>いえ</rt></ruby>は <ruby>私<rt>わたし</rt></ruby>の <ruby>名義<rt>めいぎ</rt></ruby>です。,This house is in my name.,
義母<div class="hint">mother-in-law</div>,ぎぼ,mother-in-law,<ruby>義母<rt>ぎぼ</rt></ruby>に <ruby>夫<rt>おっと</rt></ruby>の <ruby>好<rt>す</rt></ruby>きな <ruby>料理<rt>りょうり</rt></ruby>を <ruby>習<rt>なら</rt></ruby>った。,I learnt my husband's favorite dishes from my mother-in-law.,
決議<div class="hint">decision; resolution</div>,けつぎ,decision; resolution,<ruby>委員<rt>いいん</rt></ruby> <ruby>会<rt>かい</rt></ruby>で <ruby>決議<rt>けつぎ</rt></ruby>されたことを <ruby>発表<rt>はっぴょう</rt></ruby>します。,I will announce the resolution at the committee meeting.,
議決<div class="hint">decision; resolution</div>,ぎけつ,decision; resolution,<ruby>新<rt>あたら</rt></ruby>しい <ruby>法律<rt>ほうりつ</rt></ruby>が <ruby>議決<rt>ぎけつ</rt></ruby>された。,A new law was passed.,
反面<div class="hint">the other side</div>,はんめん,the other side,<ruby>彼<rt>かれ</rt></ruby>は <ruby>強<rt>つよ</rt></ruby>い <ruby>反面<rt>はんめん</rt></ruby> <ruby>臆病<rt>おくびょう</rt></ruby>なところもある。,He appears to be strong; but on the other hand he can be cowardly.,
そのもの<div class="hint">the very thing</div>,そのもの,the very thing,<ruby>彼<rt>かれ</rt></ruby>は <ruby>健康<rt>けんこう</rt></ruby>そのものです。,He is a picture of health.,
反日<div class="hint">anti-Japanese</div>,はんにち,anti-Japanese,この <ruby>国<rt>くに</rt></ruby>には <ruby>反日<rt>はんにち</rt></ruby>の <ruby>思想<rt>しそう</rt></ruby>が <ruby>残<rt>のこ</rt></ruby>っている。,There are still anti-Japanese sentiments in that country.,
反動<div class="hint">backlash; recoil</div>,はんどう,backlash; recoil,ダイエットの <ruby>反動<rt>はんどう</rt></ruby>で <ruby>食<rt>た</rt></ruby>べ <ruby>過<rt>す</rt></ruby>ぎてしまった。,I over-ate on the rebound from the diet.,
対決<div class="hint">confrontation</div>,たいけつ,confrontation,<ruby>両<rt>りょう</rt></ruby>チームは <ruby>決勝<rt>けっしょう</rt></ruby> <ruby>戦<rt>せん</rt></ruby>で <ruby>対決<rt>たいけつ</rt></ruby>した。,Both teams will face each other in the finals.,
対日<div class="hint">toward Japan</div>,たいにち,toward Japan,<ruby>各国<rt>かっこく</rt></ruby>の <ruby>対<rt>たい</rt></ruby> <ruby>日<rt>にち</rt></ruby> <ruby>感情<rt>かんじょう</rt></ruby>に <ruby>変化<rt>へんか</rt></ruby>が <ruby>見<rt>み</rt></ruby>られる。,I have observed a shift in the feelings toward Japan in various countries.,
応対<div class="hint">address; reception</div>,おうたい,address; reception,<ruby>彼女<rt>かのじょ</rt></ruby>の <ruby>応対<rt>おうたい</rt></ruby>はてきぱきとしている。,She responded efficiently.,
返答<div class="hint">answer; reply</div>,へんとう,answer; reply,<ruby>難<rt>むずか</rt></ruby>しい <ruby>質問<rt>しつもん</rt></ruby>をされて <ruby>彼<rt>かれ</rt></ruby>は <ruby>返答<rt>へんとう</rt></ruby>に <ruby>困<rt>こま</rt></ruby>っていた。,He was at a loss to answer when asked a difficult question.,
応答<div class="hint">answer; response</div>,おうとう,answer; response,<ruby>電話<rt>でんわ</rt></ruby>の <ruby>応答<rt>おうとう</rt></ruby>がありません。,No one answered the phone.,
特技<div class="hint">special skill</div>,とくぎ,special skill,<ruby>私<rt>わたし</rt></ruby>の <ruby>特技<rt>とくぎ</rt></ruby>はお <ruby>菓子<rt>かし</rt></ruby>づくりです。,My particular skill is cake-making.,
特産<div class="hint">special product</div>,とくさん,special product,この <ruby>漬物<rt>つけもの</rt></ruby>は <ruby>村<rt>むら</rt></ruby>の <ruby>特産<rt>とくさん</rt></ruby>です。,These pickles are locally produced in this village.,
特質<div class="hint">characteristic</div>,とくしつ,characteristic,<ruby>私<rt>わたし</rt></ruby>は <ruby>東洋<rt>とうよう</rt></ruby> <ruby>美術<rt>びじゅつ</rt></ruby>の <ruby>特質<rt>とくしつ</rt></ruby>について <ruby>研究<rt>けんきゅう</rt></ruby>しています。,I am researching the qualities of Oriental art.,
特売<div class="hint">special sale</div>,とくばい,special sale,<ruby>今日<rt>きょう</rt></ruby>は <ruby>野菜<rt>やさい</rt></ruby>の <ruby>特売<rt>とくばい</rt></ruby>があります。,We haev a special offer on vegetables today.,
分別<div class="hint">classification; separation</div>,ぶんべつ,classification; separation,ゴミはきちんと <ruby>分別<rt>ふんべつ</rt></ruby>してください。,Please separate the garbage correctly.,
分別<div class="hint">discretion; prudence</div>,ふんべつ,discretion; prudence,<ruby>彼<rt>かれ</rt></ruby>は <ruby>非常<rt>ひじょう</rt></ruby>に <ruby>分別<rt>ふんべつ</rt></ruby>のある <ruby>人<rt>ひと</rt></ruby>だ。,He is a very sensible person.,
別名<div class="hint">alias; another name</div>,べつめい,alias; another name,そのファイルを <ruby>別名<rt>べつめい</rt></ruby>で <ruby>保存<rt>ほぞん</rt></ruby>しておいてください。,Please save that file under another name.,
フロント<div class="hint">reception</div>,ふろんと,reception,ホテルのフロントで <ruby>鍵<rt>かぎ</rt></ruby>を <ruby>受け<ruby>取<rt>うけと</rt></ruby>った。,I got the key at the hotel reception desk.,
格別<div class="hint">particular</div>,かくべつ,particular,<ruby>今日<rt>きょう</rt></ruby>のパーティは <ruby>格別<rt>かくべつ</rt></ruby>に <ruby>楽<rt>たの</rt></ruby>しかった。,Today's party was especially fun.,
的<div class="hint">object; target</div>,まと,object; target,<ruby>彼<rt>かれ</rt></ruby>はいつも <ruby>注目<rt>ちゅうもく</rt></ruby>の <ruby>的<rt>まと</rt></ruby>です。,He's always the center of attention.,
性的<div class="hint">sexual</div>,せいてき,sexual,<ruby>性的<rt>せいてき</rt></ruby>な <ruby>犯罪<rt>はんざい</rt></ruby>が <ruby>増<rt>ふ</rt></ruby>えつつあります。,Sexual crime is on the increase.,
的中<div class="hint">hitting of the mark</div>,てきちゅう,hitting of the mark,<ruby>私<rt>わたし</rt></ruby>の <ruby>予想<rt>よそう</rt></ruby>が <ruby>的中<rt>てきちゅう</rt></ruby>しました。,My expectations came true.,
法的<div class="hint">legal; legalistic</div>,ほうてき,legal; legalistic,<ruby>彼<rt>かれ</rt></ruby>に <ruby>対<rt>たい</rt></ruby>して <ruby>法的<rt>ほうてき</rt></ruby>な <ruby>措置<rt>そち</rt></ruby>をとります。,I took legal measures against him.,
必然的<div class="hint">inevitable</div>,ひつぜんてき,inevitable,<ruby>彼<rt>かれ</rt></ruby>と <ruby>私<rt>わたし</rt></ruby>は <ruby>必然<rt>ひつぜん</rt></ruby> <ruby>的<rt>てき</rt></ruby>に <ruby>出会<rt>であ</rt></ruby>った。,It was inevitable that he and I would meet.,
画期的<div class="hint">epoch-making; epochal</div>,かっきてき,epoch-making; epochal,そのデザインは <ruby>画期的<rt>かっきてき</rt></ruby>だ。,That design is ground-breaking.,
自発的<div class="hint">spontaneous; voluntary</div>,じはつてき,spontaneous; voluntary,<ruby>子供<rt>こども</rt></ruby>たちは <ruby>自発<rt>じはつ</rt></ruby> <ruby>的<rt>てき</rt></ruby>にごみ <ruby>拾<rt>ひろ</rt></ruby>い <ruby>運動<rt>うんどう</rt></ruby>をしています。,Children are picking up garbage voluntarily.,
並び<div class="hint">line; side</div>,ならび,line; side,パン <ruby>屋<rt>や</rt></ruby>の <ruby>並<rt>なら</rt></ruby>びに <ruby>花屋<rt>はなや</rt></ruby>があります。,There is a flower shop as well as a bakery.,
並行<div class="hint">parallel; side by side</div>,へいこう,parallel; side by side,2つのプロジェクトが <ruby>並行<rt>へいこう</rt></ruby>して <ruby>進<rt>すす</rt></ruby>んでいます。,The two projects are proceeding concurrently.,
町並み<div class="hint">the look of a street</div>,まちなみ,the look of a street,ヨーロッパは <ruby>町並<rt>まちな</rt></ruby>みがすごくきれいです。,The cityspace in Europe is incredibly beautiful.,
和平<div class="hint">peace</div>,わへい,peace,<ruby>両国<rt>りょうこく</rt></ruby>は <ruby>和平<rt>わへい</rt></ruby> <ruby>交渉<rt>こうしょう</rt></ruby>をしている。,The two countries are engaged in peace talks.,
均一<div class="hint">equality; uniformity</div>,きんいつ,equality; uniformity,<ruby>送料<rt>そうりょう</rt></ruby>は <ruby>全国<rt>ぜんこく</rt></ruby> <ruby>均一<rt>きんいつ</rt></ruby>です。,Postal fees are uniform across the whole country.,
一等<div class="hint">first class</div>,いっとう,first class,<ruby>運動会<rt>うんどうかい</rt></ruby>で <ruby>彼<rt>かれ</rt></ruby>は <ruby>一等<rt>いっとう</rt></ruby>を <ruby>取<rt>と</rt></ruby>りました。,He took the first prize at the athletic meet.,
じっくり<div class="hint">carefully</div>,じっくり,carefully,<ruby>肉<rt>にく</rt></ruby>をじっくり <ruby>煮込<rt>にこ</rt></ruby>んだ。,I simmered the meat slowly.,
均等<div class="hint">equality; uniformity</div>,きんとう,equality; uniformity,ケーキが <ruby>均等<rt>きんとう</rt></ruby>に <ruby>分<rt>わ</rt></ruby>けられた。,The cake was evenly divided.,
等分<div class="hint">equal division</div>,とうぶん,equal division,このケーキを<ruby>十 <ruby>等分<rt>とうぶん</rt></ruby>してください。,Please divide this cake into ten pieces.,
下等<div class="hint">inferior; low; lower</div>,かとう,inferior; low; lower,アメーバは <ruby>下等<rt>かとう</rt></ruby> <ruby>動物<rt>どうぶつ</rt></ruby>です。,The amoeba is a lower animal.,
病<div class="hint">disease; sickness</div>,やまい,disease; sickness,<ruby>病<rt>やまい</rt></ruby>は <ruby>気<rt>き</rt></ruby>からだ。,Sickness comes from the mind.,
寺院<div class="hint">temple</div>,じいん,temple,その <ruby>寺院<rt>じいん</rt></ruby>は <ruby>屋根<rt>やね</rt></ruby>を <ruby>修復<rt>しゅうふく</rt></ruby> <ruby>中<rt>ちゅう</rt></ruby>です。,The Buddhist temple is restoring the roof.,
医薬品<div class="hint">pharmaceuticals</div>,いやくひん,pharmaceuticals,この <ruby>店<rt>みせ</rt></ruby>は <ruby>医薬品<rt>いやくひん</rt></ruby>を <ruby>取り<ruby>扱<rt>とりあつか</rt></ruby>っています。,This shop sells pharmaceuticals.,
文科<div class="hint">literary department</div>,ぶんか,literary department,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>文科<rt>ぶんか</rt></ruby>の <ruby>学生<rt>がくせい</rt></ruby>です。,She is a student in the school of liberal arts.,
死人<div class="hint">corpse; dead person</div>,しにん,corpse; dead person,<ruby>彼<rt>かれ</rt></ruby>は <ruby>絶望<rt>ぜつぼう</rt></ruby>し <ruby>死人<rt>しにん</rt></ruby>のような <ruby>顔<rt>かお</rt></ruby>をしていた。,He was in despair and his face looked gaunt.,
死去<div class="hint">death; passing away</div>,しきょ,death; passing away,<ruby>元<rt>もと</rt></ruby> <ruby>首相<rt>しゅしょう</rt></ruby>の <ruby>死去<rt>しきょ</rt></ruby>が <ruby>報道<rt>ほうどう</rt></ruby>された。,The death of the former Prime Minister was reported.,
洋酒<div class="hint">foreign wine</div>,ようしゅ,foreign wine,<ruby>私<rt>わたし</rt></ruby>は <ruby>日本<rt>にほん</rt></ruby> <ruby>酒<rt>しゅ</rt></ruby>よりも <ruby>洋酒<rt>ようしゅ</rt></ruby>が <ruby>好<rt>す</rt></ruby>きだ。,I like foreign drinks better than Japanese rice wine.,
杯<div class="hint">sake cup; wine cup</div>,さかずき,sake cup; wine cup,<ruby>友情<rt>ゆうじょう</rt></ruby>の <ruby>印<rt>しるし</rt></ruby>に <ruby>杯<rt>さかずき</rt></ruby>を <ruby>交<rt>か</rt></ruby>わそう。,Cups are exchanged as a sign of friendship.,
担保<div class="hint">mortgage; security</div>,たんぽ,mortgage; security,<ruby>彼<rt>かれ</rt></ruby>は <ruby>家<rt>いえ</rt></ruby>を <ruby>担保<rt>たんぽ</rt></ruby>にして <ruby>借金<rt>しゃっきん</rt></ruby>した。,He borrowed money using the house as security.,
保安<div class="hint">preservation of public peace</div>,ほあん,preservation of public peace,この <ruby>会社<rt>かいしゃ</rt></ruby>は <ruby>警備<rt>けいび</rt></ruby>や <ruby>保安<rt>ほあん</rt></ruby>が <ruby>専門<rt>せんもん</rt></ruby>です。,This company specializes in security and protection.,
保温<div class="hint">keeping warm</div>,ほおん,keeping warm,この <ruby>鍋<rt>なべ</rt></ruby>は <ruby>保温<rt>ほおん</rt></ruby> <ruby>機能<rt>きのう</rt></ruby>がついています。,This pan has thermal insulation.,
コイン<div class="hint">coin</div>,こいん,coin,ポケットからコインが <ruby>出<rt>で</rt></ruby>てきた。,The coins have come out of the pocket.,
証書<div class="hint">bond; certificate</div>,しょうしょ,bond; certificate,<ruby>校長<rt>こうちょう</rt></ruby> <ruby>先生<rt>せんせい</rt></ruby>から <ruby>卒業<rt>そつぎょう</rt></ruby> <ruby>証書<rt>しょうしょ</rt></ruby>が <ruby>手渡<rt>てわた</rt></ruby>された。,I was handed a diploma by the principal.,
共存<div class="hint">coexistence</div>,きょうぞん,coexistence,<ruby>人間<rt>にんげん</rt></ruby>は <ruby>自然<rt>しぜん</rt></ruby>と <ruby>共存<rt>きょうぞん</rt></ruby>する <ruby>必要<rt>ひつよう</rt></ruby>がある。,Man should coexist with nature.,
思う存分<div class="hint">to one's heart's content</div>,おもうぞんぶん,to one's heart's content,<ruby>思う<ruby>存分<rt>おもうぞんぶん</rt></ruby>デートを <ruby>楽<rt>たの</rt></ruby>しんだ。,I thoroughly enjoyed dating.,
意<div class="hint">feelings; opinion</div>,い,feelings; opinion,<ruby>彼<rt>かれ</rt></ruby>は <ruby>感謝<rt>かんしゃ</rt></ruby>の <ruby>意<rt>い</rt></ruby>を <ruby>表<rt>あらわ</rt></ruby>した。,He expressed gratitude.,
要注意<div class="hint">attention required</div>,ようちゅうい,attention required,あの <ruby>人<rt>ひと</rt></ruby>には <ruby>要注意<rt>ようちゅうい</rt></ruby>です。,He needs to take care.,
故意<div class="hint">intention; purpose</div>,こい,intention; purpose,<ruby>私<rt>わたし</rt></ruby>は <ruby>彼<rt>かれ</rt></ruby>を <ruby>故意<rt>こい</rt></ruby>に <ruby>傷<rt>きず</rt></ruby>つけたわけではない。,I did not hurt him intentionally.,
悪意<div class="hint">malicious intent</div>,あくい,malicious intent,<ruby>彼<rt>かれ</rt></ruby>の <ruby>目<rt>め</rt></ruby>つきに <ruby>悪意<rt>あくい</rt></ruby>を <ruby>感<rt>かん</rt></ruby>じた。,I felt malice in his look.,
有意義<div class="hint">significant; useful</div>,ゆういぎ,significant; useful,<ruby>今日<rt>きょう</rt></ruby>はとても <ruby>有意義<rt>ゆういぎ</rt></ruby>な <ruby>時間<rt>じかん</rt></ruby>を <ruby>過<rt>す</rt></ruby>ごせました。,I had a very productive time today.,
意地<div class="hint">disposition</div>,いじ,disposition,<ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>意地<rt>いじ</rt></ruby>になっています。,She's obstinate.,
真意<div class="hint">real intention; true meaning</div>,しんい,real intention; true meaning,<ruby>彼<rt>かれ</rt></ruby>の <ruby>発言<rt>はつげん</rt></ruby>の <ruby>真意<rt>しんい</rt></ruby>は <ruby>何<rt>なん</rt></ruby>なのだろう。,What is the real intention of his remark?,
熱意<div class="hint">ardor; zeal</div>,ねつい,ardor; zeal,<ruby>手紙<rt>てがみ</rt></ruby>から <ruby>彼<rt>かれ</rt></ruby>の <ruby>熱意<rt>ねつい</rt></ruby>が <ruby>伝<rt>つた</rt></ruby>わってきました。,His enthusiasm came across in the letter.,
不意<div class="hint">sudden; unexpected</div>,ふい,sudden; unexpected,そのキーパーは <ruby>不意<rt>ふい</rt></ruby>をつかれてゴールを <ruby>許<rt>ゆる</rt></ruby>した。,The goalkeeper was caught off guard and let in a goal.,
的確<div class="hint">accurate; precise</div>,てきかく,accurate; precise,<ruby>彼女<rt>かのじょ</rt></ruby>はいつも <ruby>的確<rt>てきかく</rt></ruby>なアドバイスをくれる。,She always gives accurate advice.,
認め<div class="hint">approval</div>,みとめ,approval,これは <ruby>上司<rt>じょうし</rt></ruby>の <ruby>認<rt>みと</rt></ruby>めが <ruby>必要<rt>ひつよう</rt></ruby>だ。,This needs the boss's approval.,
そもそも<div class="hint">in the first place</div>,そもそも,in the first place,<ruby>彼<rt>かれ</rt></ruby>はそもそもこの <ruby>仕事<rt>しごと</rt></ruby>に <ruby>向<rt>む</rt></ruby>いていない。,He wasn't suited to this work from the beginning.,
利率<div class="hint">interest rate</div>,りりつ,interest rate,<ruby>銀行<rt>ぎんこう</rt></ruby>の <ruby>利率<rt>りりつ</rt></ruby>はあまり <ruby>良<rt>よ</rt></ruby>くないです。,The bank's interest rate isn't very good.,
率先<div class="hint">initiative; leadership</div>,そっせん,initiative; leadership,<ruby>何事<rt>なにごと</rt></ruby>も <ruby>率先<rt>そっせん</rt></ruby>してやるようにしています。,I take the initiative in everything I do.,
率いる<div class="hint">head; lead</div>,ひきいる,head; lead,<ruby>彼<rt>かれ</rt></ruby>の <ruby>率<rt>ひき</rt></ruby>いるチームはとても <ruby>強<rt>つよ</rt></ruby>い。,The team that he leads is very strong.,
動機<div class="hint">incentive; motive</div>,どうき,incentive; motive,<ruby>面接<rt>めんせつ</rt></ruby>で <ruby>応募<rt>おうぼ</rt></ruby> <ruby>動機<rt>どうき</rt></ruby>を <ruby>聞<rt>き</rt></ruby>かれた。,At the interview; I was asked about why I applied for the job.,
待機<div class="hint">stand by; waiting</div>,たいき,stand by; waiting,<ruby>呼<rt>よ</rt></ruby>ばれるまで <ruby>待機<rt>たいき</rt></ruby>していて <ruby>下<rt>くだ</rt></ruby>さい。,Please stand by until you are called.,
機体<div class="hint">fuselage; machine</div>,きたい,fuselage; machine,<ruby>飛行機<rt>ひこうき</rt></ruby>の <ruby>機体<rt>きたい</rt></ruby>に <ruby>異常<rt>いじょう</rt></ruby>が <ruby>見<rt>み</rt></ruby>つかった。,Abnormalities were found in the body of the airplane.,
人材<div class="hint">capable man; talent</div>,じんざい,capable man; talent,わが <ruby>社<rt>しゃ</rt></ruby>は <ruby>今<rt>いま</rt></ruby> <ruby>良<rt>よ</rt></ruby>い <ruby>人材<rt>じんざい</rt></ruby>を <ruby>探<rt>さが</rt></ruby>しています。,Our company is looking for talented staff now.,
木材<div class="hint">timber; wood</div>,もくざい,timber; wood,あの <ruby>店<rt>みせ</rt></ruby>は <ruby>木材<rt>もくざい</rt></ruby>を <ruby>扱<rt>あつか</rt></ruby>っています。,That shop deals in timber.,
用具<div class="hint">outfit; tool</div>,ようぐ,outfit; tool,<ruby>掃除<rt>そうじ</rt></ruby> <ruby>用具<rt>ようぐ</rt></ruby>を <ruby>買<rt>か</rt></ruby>ってきました。,I bought some cleaning tools.,
備考<div class="hint">remarks</div>,びこう,remarks,<ruby>備考<rt>びこう</rt></ruby> <ruby>欄<rt>らん</rt></ruby>もよく <ruby>読<rt>よ</rt></ruby>んでください。,Please read the remarks column carefully.,
予備校<div class="hint">preparatory school</div>,よびこう,preparatory school,<ruby>今<rt>いま</rt></ruby> <ruby>彼女<rt>かのじょ</rt></ruby>は <ruby>予備校<rt>よびこう</rt></ruby>に <ruby>通<rt>かよ</rt></ruby>っています。,She is attending prep school now.,
不備<div class="hint">defect; imperfection</div>,ふび,defect; imperfection,<ruby>書類<rt>しょるい</rt></ruby>に <ruby>不備<rt>ふび</rt></ruby>があった。,There were flaws in the document.,
開設<div class="hint">establishment</div>,かいせつ,establishment,<ruby>四月<rt>しがつ</rt></ruby>に <ruby>新<rt>あたら</rt></ruby>しい <ruby>講座<rt>こうざ</rt></ruby>が <ruby>開設<rt>かいせつ</rt></ruby>されました。,A new course was established in April.,
説教<div class="hint">preaching; scolding</div>,せっきょう,preaching; scolding,<ruby>遅刻<rt>ちこく</rt></ruby>が <ruby>多<rt>おお</rt></ruby>くて <ruby>先生<rt>せんせい</rt></ruby>に <ruby>説教<rt>せっきょう</rt></ruby>された。,They were extremely late and were lectured by the teacher.,
公<div class="hint">the public</div>,おおやけ,the public,この <ruby>事実<rt>じじつ</rt></ruby>はまだ <ruby>公<rt>おおやけ</rt></ruby>にはなっていません。,This matter has not become public yet.,
タッチ<div class="hint">touch</div>,たっち,touch,<ruby>壁<rt>かべ</rt></ruby>をタッチして <ruby>戻<rt>もど</rt></ruby>って <ruby>来<rt>き</rt></ruby>てください。,Please touch the wall and come back.,
公認<div class="hint">authorization; official recognition</div>,こうにん,authorization; official recognition,<ruby>二人<rt>ふたり</rt></ruby>は <ruby>公認<rt>こうにん</rt></ruby>の <ruby>仲<rt>なか</rt></ruby>だ。,The couple's relationship is widely acknowledged.,
公表<div class="hint">proclamation; public announcement</div>,こうひょう,proclamation; public announcement,<ruby>関係<rt>かんけい</rt></ruby> <ruby>者<rt>しゃ</rt></ruby>の <ruby>名前<rt>なまえ</rt></ruby>は <ruby>公表<rt>こうひょう</rt></ruby>されません。,Names of the parties concerned are not to be made public.,
公約<div class="hint">public pledge</div>,こうやく,public pledge,<ruby>私<rt>わたし</rt></ruby>は <ruby>必<rt>かなら</rt></ruby>ず <ruby>公約<rt>こうやく</rt></ruby>を <ruby>守<rt>まも</rt></ruby>ります。,I will be sure to keep the election promises.,
公然<div class="hint">out in the open</div>,こうぜん,out in the open,にせもののブランド <ruby>品<rt>ひん</rt></ruby>が <ruby>公然<rt>こうぜん</rt></ruby>と <ruby>売<rt>う</rt></ruby>られている。,Fake brand-name goods are sold publicly.,
公民館<div class="hint">public hall</div>,こうみんかん,public hall,<ruby>公民館<rt>こうみんかん</rt></ruby>に <ruby>人<rt>ひと</rt></ruby>が <ruby>集<rt>あつ</rt></ruby>まってきた。,People have gathered in the public hall.,
公営<div class="hint">public management</div>,こうえい,public management,<ruby>近所<rt>きんじょ</rt></ruby>には <ruby>公営<rt>こうえい</rt></ruby>のプールがあります。,There is a public pool near here.,
