得,dé,get; obtain; win; earn,他得到了礼物。,Tā dédàole lǐwù.,He received a gift.
偶尔,ǒu'ěr,occasionally; once in a while; sometimes,,,
实际,shíjì,actual; reality; practice,我没有实际经验。,Wǒ méiyǒu shíjì jīngyàn.,I don't have practical experience.
友好,yǒuhǎo,friendly (relations); close friends,她对待客人很友好。,Tā duìdài kèren hěn yǒuhǎo.,She's friendly to the guests.
相反,xiāngfǎn,opposite; contrary,,,
大夫,dàifu,doctor; physician,在中国，医生也叫大夫。,Zài Zhōngguó yīshēng yě jiào dàifu.,"In China doctors are also called ""daifu""."
友谊,yǒuyì,friendship; companionship,他们之间建立了深厚的友谊。,Tāmen zhījiān jiànlìle shēnhòu de yǒuyì.,They have developed a deep friendship.
准确,zhǔnquè,accurate; precise,他的判断很准确。,Tā de pànduàn hěn zhǔnquè.,His judgment was very accurate.
平时,píngshí,ordinarily; in normal times; in peacetime,你平时喜爱做运动吗？,Nǐ píngshí xǐ'ài zuò yùndòng ma?,Do you normally like doing sports?
对面,duìmiàn,opposite; across from; the other side,,,
脾气,píqi,temperament; disposition; temper,老师在发脾气。,Lǎoshī zài fā píqi.,The teacher is having a fit.
价格,jiàgé,price,今年玉米种的价格比去年偏高。,Jīnnián yùmǐ zhǒng de jiàgé bǐ qùnián piān gāo.,The price of corn seed this year is a bit high compared to last year.
性格,xìnggé,nature; personality; temperament,他的性格很叛逆。,Tā de xìnggé hěn pànnì.,He's very rebellious.
鼓励,gǔlì,encourage; inspire,学生得到了鼓励。,Xuéshēng dédào le gǔlì.,The students received encouragement.
及时,jíshí,timely; in time; promptly; without delay,我及时赶到了车站。,Wǒ jíshí gǎndàole chēzhàn.,I made it to the station in time.
迷路,mílù,to get lost,我确定我们已经迷路了。,Wǒ quèdìng wǒmen yǐjing mílù le.,I'm sure we're lost.
棵,kē,(mw for plants),这棵树有三米高。,Zhè kē shù yǒu sān mǐ gāo.,This tree is three meters tall.
理想,lǐxiǎng,ideal,那是我的理想。,Nàshì wǒde lǐxiǎng.,That is my ideal.
工资,gōngzī,wages; pay; earnings; salary,工资很低，其它条件还行。,Gōngzī hěn dī qítā tiáojiàn hái xíng.,The wages are low but the other conditions of employment are acceptable.
散步,sàn bù,to go for a walk,一对夫妻在公园里散步。,Yī duì fūqī zài gōngyuán lǐ sànbù.,The couple are taking a walk in the park.
只好,zhǐhǎo,have to; be forced to,没有车，他只好走路。,Méiyǒu chē tā zhǐhǎo zǒulù.,Without a car he is forced to walk.
感动,gǎndòng,be moved; to touch emotionally,她们感动得流下了眼泪。,Tāmen gǎndòng de liúxiale yǎnlèi.,They're moved to tears.
知识,zhīshi,knowledge; intellectual,知识要靠阅读来积累。,Zhīshi yào kào yuèdú lái jīlěi.,Knowledge is accumulated by reading.
难受,nánshòu,feel unwell; to suffer pain,,,
奖金,jiǎngjīn,bonus,这个月底发奖金。,Zhège yuèdǐ fā jiǎngjīn.,The bonuses will be distributed at the end of the month.
幽默,yōumò,humorous,这个女人很幽默。,Zhège nǚrén hěn yōumò.,This woman is humorous.
孙子,sūnzi,grandson; son's son,《孙子兵法》 是一本 很 有名的 书。,《Sūnzi Bīngfǎ》 shì yī běn hěn yǒumíngde shū.,The Art of War is a very famous book.
汗,hàn,sweat; perspiration; Khan,天气太热，他们出了很多汗。,Tiānqì tài rè tāmen chūle hěn duō hàn.,It's too hot and they have been sweating a lot.
收入,shōurù,take in; income; revenue,我的收入提高了。,Wǒ de shōurù tígāo le.,My income went up.
酸,suān,sour; sore; ache,柠檬太酸了。,Níngméng tài suān le.,This lemon is too sour.
公里,gōnglǐ,kilometer,我走了一公里路。,Wǒ zǒule yì gōnglǐ lù.,I walked one kilometer.
害羞,hài xiū,blush; shy,她有点害羞。,Tā yǒudiǎn hàixiū.,She's a little timid.
基础,jīchǔ,base; foundation,我们从基础开始学习。,Wǒmen cóng jīchǔ kāishǐ xuéxí.,We'll begin our studies with the basics.
准时,zhǔnshí,punctually; on time,,,
积极,jījí,active; positive; energetic,他工作很积极。,Tā gōngzuò hěn jījí.,He is very positive in his work.
富,fù,wealthy,宋 先生 富有 吗？,Sòng xiānsheng fùyǒu ma?,Is Mr. Song rich?
力气,lìqi,physical strength; effort,他很有力气。,Tā hěn yǒu lìqi.,He's really strong.
入口,rùkǒu,entrance,那里是地铁站的入口。,Nàli shì dìtiězhàn de rùkǒu.,That is the entrance to the subway.
袜子,wàzi,socks; stockings,她穿着白色的袜子。,Tā chuānzhuó báisè de wàzi.,She's wearing white socks.
烦恼,fánnǎo,worried; vexed,她很烦恼。,Tā hěn fánnǎo.,She feels very troubled.
举办,jǔbàn,to conduct; to hold,我们联合举办了这次会议。,Wǒmen liánhé jǔbànle zhè cì huìyì.,We jointly organized the meeting.
修理,xiūlǐ,to repair; perform maintenance; to overhaul,他在修理机器。,Tā zài xiūlǐ jīqì.,He's repairing the machine.
减少,jiǎnshǎo,reduce; to decrease,这个月的生活开支减少了。,Zhège yuè de shēnghuó kāizhī jiǎnshǎo le.,Living expenses for this month have decreased.
亲戚,qīnqi,a relative (i.e. family relation),他们是我的亲戚。,Tāmen shì wǒ de qīnqi.,They're my relatives.
参观,cānguān,to visit (a place such as a tourist spot); inspect,向导带领我们参观灯塔。,Xiàngdǎo dàilǐng wǒmen cānguān dēngtǎ.,The guide led us on a tour of the lighthouse.
丰富,fēngfù,rich; enrich; abundant; plentiful,他的工作经历很丰富。,Tā de gōngzuò jīnglì hěn fēngfù.,He has a wealth of work experience.
果汁,guǒzhī,fruit juice,我喝果汁或者咖啡。,Wǒ hē guǒzhī huòzhě kāfēi.,I drink juice or coffee.
毛巾,máojīn,towel; washcloth,妈妈用毛巾把婴儿裹起来。,Māma yòng máojīn bǎ yīng'ér guǒ qǐlái.,The mother wraps the baby in the towel.
作者,zuòzhě,author; writer,他是这本书的作者。,Tā shì zhè běn shū de zuòzhě.,He's the author of this book.
海洋,hǎiyáng,ocean,我们很喜欢海洋。,Wǒmen hěn xǐhuan hǎiyáng.,We love the sea.
批评,pīpíng,criticize,他在批评员工。,Tā zài pīpíng yuángōng.,He's criticizing his staff.
排队,pái duì,queue; stand in line,小朋友们依次排队上车。,Xiǎo péngyǒumen yīcì páiduì shàngchē.,The children line up to board the school bus.
例如,lìrú,for example; for instance,很多地方有卖的，例如这里。,Hěn duō dìfang yǒu mài de lìrú zhèlǐ.,It's sold at many places for example here.
植物,zhíwù,plant; botanical; vegetation,玫瑰属于蔷薇科植物。,Méigui shǔyú qiángwēikē zhíwù.,Roses belong to the Rosaceae family.
穷,qióng,poor; exhausted,他 很 贫穷。,Tā hěn pínqióng.,He is very poor.
家具,jiājù,furniture,他把旧家具加工了一下。,Tā bǎ jiù jiājù jiāgōngle yíxià.,He reworked some old furniture.
盐,yán,salt,请在汤里加点盐。,Qǐng zài tāng li jiā diǎn yán.,Please add a little salt to the soup.
温度,wēndù,temperature,室外的温度很高。,Shìwài de wēndù hěn gāo.,The outside temperature is very high.
数量,shùliàng,amount; quantity; number,你们公司的员工数量是多少？,Nǐmen gōngsī de yuángōng shùliàng shì duōshao?,How many employees work in your company?
逛,guàng,to stroll; to visit; go window shopping,我今天去逛街购物。,Wǒ jīntiān qù guàngjiē gòuwù.,I went strolling down the street and did some shopping today.
厚,hòu,thick (for flat things); generous,与 薄 相对 的 是 厚。,Yǔ báo xiāngduì de shì hòu.,Thin is the opposite of thick.
亚洲,Yàzhōu,Asia,亚洲一共有几个国家？,Yàzhōu yīgòng yǒu jǐ gè guójiā?,How many countries are there in Asia altogether?
来不及,lái bu jí,there's not enough time (to do something); it's too late,,,
师傅,shīfu,master; qualified worker; teacher,,,
污染,wūrǎn,pollution; contamination,污染对环境造成了破坏。,Wūrǎn duì huánjìng zàochéngle pòhuài.,Pollution has caused damage to the environment.
来得及,lái de jí,there's still time,,,
减肥,jiǎnféi,go on a diet; lose weight,你用什么方法减肥？,Nǐ yòng shénme fāngfǎ jiǎnféi?,What method are you using to lose weight?
客厅,kètīng,living room; parlor,客厅里有一张方桌。,Kètīng lǐ yǒu yī zhāng fāngzhuō.,There's a square table in the living room.
缺少,quēshǎo,to lack; be short of; be deficient in,这家公司正缺少人手。,Zhè jiā gōngsī zhèng quēshǎo rénshǒu.,This company is short-handed.
老虎,lǎohǔ,tiger,动物园里有一只老虎。,Dòngwùyuán lǐ yǒu yī zhī lǎohǔ.,There is a tiger in the zoo.
降低,jiàngdī,reduce; to lower; to drop,气温降低了。,Qìwēn jiàngdī le.,The temperature has fallen.
云,yún,cloud; Yunnan province; say; speak,天上有一朵白云。,Tiānshàng yǒu yì duǒ báiyún.,There's one white cloud in the sky.
质量,zhìliàng,quality; mass (physics),他们的服务质量很差。,Tāmen de fúwù zhìliàng hěn chà.,The quality of their service is poor.
学期,xuéqī,semester; school term,新学期开始了。,Xīn xuéqī kāishǐ le.,The new semester has started.
卫生间,wèishēngjiān,restroom; bathroom; water closet (WC),我 在 打扫 卫生间。,Wǒ zài dǎsǎo wèishēnɡjiān.,I am cleaning the bathroom.
网球,wǎngqiú,tennis; tennis ball,我会打网球。,Wǒ huì dǎ wǎngqiú.,I can play tennis.
其次,qícì,next; secondly,他总是先想别人，其次才想到自己。,Tā zǒng shì xiān xiǎng biéren qícì cái xiǎng dào zìjǐ.,He always thinks of others first then himself.
打招呼,dǎzhāohu,notify; greet; inform,,,
表格,biǎogé,form (document),请在表格上打勾。,Qǐng zài biǎogé shàng dǎgōu.,Please check the boxes on the form.
阅读,yuèdú,read; reading,知识要靠阅读来积累。,Zhīshi yào kào yuèdú lái jīlěi.,Knowledge is accumulated by reading.
信封,xìnfēng,envelope,信封上贴着两张邮票。,Xìnfēng shàng tiēzhe liǎng zhāng yóupiào.,There are two stamps pasted on the envelope.
顺序,shùnxù,sequence; order,生产按顺序进行。,Shēngchǎn àn shùnxù jìnxíng.,Production is proceeding according to the (established) sequence.
放暑假,fàng shǔjià,have summer vacation,,,
乘坐,chéngzuò,ride; get into (a vehicle),,,
重视,zhòngshì,to value; take seriously,公司很重视人才。,Gōngsī hěn zhòngshì réncái.,The company attaches great importance to human talent.
推迟,tuīchí,postpone; defer,会议将推迟到后天。,Huìyì jiāng tuīchí dào hòutiān.,The meeting will be postponed to the day after tomorrow.
缺点,quēdiǎn,weak point; defect; fault; shortcoming,老师要求学生改正缺点。,Lǎoshī yāoqiú xuésheng gǎizhèng quēdiǎn.,The teacher asked the student to improve his weaknesses.
加油站,jiāyóuzhàn,gas station,,,
首都,shǒudū,capital (city),北京是中国的首都。,Běijīng shì Zhōngguó de shǒudū.,Beijing is China's capital.
羡慕,xiànmù,to envy; admire,她很羡慕好朋友的幸福婚姻。,Tā hěn xiànmù hǎo péngyou de xìngfú hūnyīn.,She admires/envies her good friend's happy marriage.
零钱,língqián,small change (of money),店主给我找零钱。,Diànzhǔ gěi wǒ zhǎo língqián.,The shop owner gave me the change.
暖和,nuǎnhuo,warm; nice and warm,棉被很暖和。,Miánbèi hěn nuǎnhuo.,Comforters are very warm.
懒,lǎn,lazy,她 不 应该 这么 懒惰。,Tā bù yīnggāi zhème lǎnduò.,She shouldn't be so lazy.
出差,chū chāi,go on a business trip,我经常去外地出差。,Wǒ jīngcháng qù wàidì chūchāi.,I frequently go on business trips to other places.
民族,mínzú,nationality; ethnic group,她是少数民族。,Tā shì shǎoshù mínzú.,She is an ethnic minority.
传真,chuánzhēn,fax; facsimile,请发传真过来。,Qǐng fā chuánzhēn guòlai.,Please fax it here.
优点,yōudiǎn,merit; good point; a strength; a benefit,学习认真是他的优点。,Xuéxí rènzhēn shì tā de yōudiǎn.,Studying hard is his strength.
垃圾桶,lājītǒng,garbage can,,,
加班,jiā bān,work overtime,明天我要加班。,Míngtiān wǒ yào jiābān.,I have to work overtime tomorrow.
房东,fángdōng,landlord,我把钥匙交给了房东。,Wǒ bǎ yàoshi jiāogěile fángdōng.,I gave my key to the landlord.
按时,ànshí,on time; on schedule,医生叮嘱病人按时吃药。,Yīshēng dīng zhǔ bìngrén ànshí chīyào.,The doctor urged the patient repeatedly to take the medicine at the times indicated.
葡萄,pútao,grape,这两种葡萄本质上没有差别。,Zhè liǎng zhǒng pútao běnzhì shàng méiyǒu chābié.,There's no essential difference between the two kinds of grapes.
往往,wǎngwǎng,often; frequently; more often than not,他往往工作到半夜。,Tā wǎngwǎng gōngzuò dào bànyè.,He often works until midnight.
高速公路,gāosù gōnglù,highway,高速公路上堵车了。,Gāosù gōnglù shàng dǔchē le.,There's a traffic jam on the highway.
得意,déyì,proud of oneself; complacent,儿子得意地要胁妈妈。,Érzi déyì de yāoxié māma.,The son smugly coerces his mother.
特点,tèdiǎn,a characteristic; trait; feature,他写的字很有特点。,Tā xiě de zì hěn yǒu tèdiǎn.,The Chinese characters that he writes are distinctive.
合格,hégé,qualified; up to standard,我考试合格了。,Wǒ kǎoshì hégé le.,I've qualified on the exam.
性别,xìngbié,gender; sex; sexual distinction,这只小猫的性别是什么？,Zhè zhī xiǎomāo de xìngbié shì shénme?,What's the kitten's gender?
报名,bào míng,sign up; apply,学校5号截止报名。,Xuéxiào wǔ hào jiézhǐ bàomíng.,The deadline for enrolling in the school is on the 5th.
互联网,Hùliánwǎng,Internet,,,
景色,jǐngsè,scenery; landscape; scene; view,天刚破晓，景色很美。,Tiān gāng pòxiǎo jǐngsè hěn měi.,The scenery at dawn is very beautiful.
大使馆,dàshǐguǎn,embassy,我去英国大使馆办签证。,Wǒ qù Yīngguó dàshǐguǎn bàn qiānzhèng.,I'm going to the British embassy to get a visa.
总结,zǒngjié,summarize; conclude,主任总结了发言。,Zhǔrèn zǒngjiéle fāyán.,The director summarized the presentations.
热闹,rènao,bustling; lively; busy,集市很热闹。,Jíshì hěn rènao.,The country market is very lively.
郊区,jiāoqū,suburbs; outskirts,我在城市上班，但是住在郊区。,Wǒ zài chéngshì shàngbān dànshì zhùzài jiāoqū.,I work in the city but live in the suburbs.
咳嗽,késou,to cough,她有点咳嗽。,Tā yǒudiǎn késou.,She has a little cough.
签证,qiānzhèng,visa,我去英国大使馆办签证。,Wǒ qù Yīngguó dàshǐguǎn bàn qiānzhèng.,I'm going to the British embassy to get a visa.
咸,xián,salty; salted; all,一般来说 东北 菜 比较 咸。,Yībānláishuō Dōngběi cài bǐjiào xián.,Generally speaking Dongbei cuisine is rather salty.
打印,dǎyìn,to print,她能使用这台打印机。,Tā néng shǐyòng zhè tái dǎyìnjī.,She can use this printer.
活泼,huópo,lively; vivacious,少年们很活泼。,Shàoniánmen hěn huópo.,The young boys are very spirited.
邮局,yóujú,post office,邮局就在正前方。,Yóujú jiù zài zhèng qiánfāng.,The post office is right in front.
牙膏,yágāo,toothpaste,我在挤牙膏准备刷牙。,Wǒ zài jǐ yágāo zhǔnbèi shuāyá.,I am squeezing toothpaste in preparation to brush my teeth.
气候,qìhòu,climate; atmosphere; weather,沙漠的气候很干燥。,Shāmò de qìhòu hěn gānzào.,The climate of the desert is very dry.
勺子,sháozi,spoon; scoop; ladle,这个 勺子 很 脏。,Zhège sháozi hěn zāng.,This spoon is very dirty.
付款,fù kuǎn,to pay,我去柜台付款。,Wǒ qù guìtái fùkuǎn.,I'm going to the counter to pay.
理发,lǐfà,a barber hairdressing; haircut,,,
复印,fùyìn,photocopy; duplicate,请帮我复印这份文件。,Qǐng bāng wǒ fùyìn zhè fèn wénjiàn.,Please help me copy this document.
词语,cíyǔ,words and expressions; terms,汉语的词语很多。,Hànyǔ de cíyǔ hěn duō.,The Chinese language has many words and expressions.
表扬,biǎoyáng,to praise; commend,这件事他处理得很好，得到了老板的表扬。,Zhèjiàn shì tā chǔlǐde hěn hǎo dédào le lǎobǎn de biǎoyáng.,He dealt with this matter very well and obtained his boss's praise.
打针,dǎzhēn,inject; get a shot,医生在给他打针。,Yīshēng zài gěi tā dǎzhēn.,The doctor is giving him an injection.
普遍,pǔbiàn,common; universal; general; widespread,中国人普遍都爱吃包子。,Zhōngguórén pǔbiàn dōu ài chī bāozi.,Most Chinese love to eat baozi.
堵车,dǔchē,traffic jam,高速公路上堵车了。,Gāosù gōnglù shàng dǔchē le.,There's a traffic jam on the highway.
叶子,yèzi,leaves,叶子变黄了。,Yèzi biànhuáng le.,The leaves have turned yellow.
打折,dǎzhé,sell at a discount,这家商店在打折。,Zhè jiā shāngdiàn zài dǎzhé.,This shop is giving discounts.
排列,páiliè,arrange; align; permutation,请把蜡烛顺次排列。,Qǐng bǎ làzhú shùncì páiliè.,Please arrange these candles in order.
凉快,liángkuai,nice and cool; pleasantly cool,夏天洗澡很凉快。,Xiàtiān xǐzǎo hěn liángkuai.,"Taking a bath in summer is very refreshing [lit. ""cool""]. ."
塑料袋,sùliàodài,plastic bag,,,
导游,dǎoyóu,tour guide,导游在前面带路。,Dǎoyóu zài qiánmian dàilù.,The guide is in front of us leading the way.
小吃,xiǎochī,snack; refreshments,饭前先吃点小吃吧！,Fàn qián xiān chī diǎn xiǎochī ba!,Let's eat some snacks before the meal.
西红柿,xīhóngshì,tomato,,,
招聘,zhāopìn,recruitment; take job applications for a job,他想招聘新员工。,Tā xiǎng zhāopìn xīn yuángōng.,He wants to recruit some new employees.
节约,jiéyuē,frugal; to save,节约能源关系到全人类的福祉。,Jiéyuē néngyuán guānxidào quán rénlèi de fúzhǐ.,Energy conservation touches on the welfare of all mankind.
硕士,shuòshì,Master's degree (M.A.),他硕士毕业了。,Tā shuòshì bìyè le.,He has graduated with a master's degree.
乒乓球,pīngpāngqiú,ping pong; table tennis,桌上有一个乒乓球。,Zhuō shàng yǒu yī gè pīngpāngqiú.,There's a ping pong ball on the desk.
积累,jīlěi,accumulate; accumulation,知识要靠阅读来积累。,Zhīshi yào kào yuèdú lái jīlěi.,Knowledge is accumulated by reading.
橡皮,xiàngpí,rubber; an eraser,橡皮筏在河里颠簸着。,Xiàngpífá zài hé lǐ diānbǒzhe.,The rubber raft tossed about on the river.
应聘,yìngpìn,accept a job offer; to apply for a job,她到一家着名的公司应聘。,Tā dào yī jiā zhùmíng de gōngsī yìngpìn.,She is applying for a position in a famous company.
矿泉水,kuàngquánshuǐ,mineral water,矿泉水的味道很甘甜。,Kuàngquánshuǐ de wèidao hěn gāntián.,The mineral water tastes very sweet.
长城,chángchéng,the Great Wall,长城是七大奇迹之一。,Chángchéng shì qī dà qíjì zhī yī.,The Great Wall is one of the seven wonders of the world.
语法,yǔfǎ,grammar,他掌握了汉语语法。,Tā zhǎngwòle Hànyǔ yǔfǎ.,He has mastered Chinese grammar.
礼拜天,lǐbàitiān,Sunday,,,
饺子,jiǎozi,dumpling; potsticker,过年吃饺子是一个传统。,Guònián chī jiǎozi shì yí gè chuántǒng.,Eating dumplings is a Chinese New Year's tradition.
国籍,guójí,nationality,我有美国国籍。,Wǒ yǒu Měiguó guójí.,I have American citizenship.
售货员,shòuhuòyuán,salesclerk; shop assistant,售货员请我输入卡号密码。,Shòuhuòyuán qǐng wǒ shūrù kǎhào mìmǎ.,The salesperson asked me to enter my pin number.
翻译,fānyì,translate; translation; interpret,请把这句话翻译成英语。,Qǐng bǎ zhè jù huà fānyì chéng Yīngyǔ.,Please translate this sentence into English.
流利,liúlì,fluent,,,
粗心,cūxīn,careless; inadvertent; negligent,他很粗心，工作中常犯错。,Tā hěn cūxīn gōngzuò zhōng cháng fàncuò.,He is so careless that he often makes mistakes at work.
养成,yǎngchéng,cultivate; acquire; to form,父母想把我培养成科学家。,Fùmǔ xiǎng bǎ wǒ péiyǎng chéng kēxuéjiā.,My parents wanted to train me to be a scientist.
马虎,mǎhu,careless; sloppy; casual,,,
百分之,bǎifēnzhī,percent,老人人口占总人口的百分之三十。,Lǎorén rénkǒu zhàn zǒng rénkǒu de bǎifēnzhī sān shí.,Elderly people account for 30% of the total population.
普通话,pǔtōnghuà,Mandarin (common language),我 同事的 普通话 说得 很 好。,Wǒ tóngshìde pǔtōnghuà shuōde hěn hǎo.,My coworker speaks Mandarin really well.
登机牌,dēngjīpái,boarding pass,,,
占线,zhànxiàn,the (phone) line is busy,,,
包子,bāozi,steamed stuffed bun,中国人普遍都爱吃包子。,Zhōngguórén pǔbiàn dōu ài chī bāozi.,Most Chinese love to eat baozi.
羽毛球,yǔmáoqiú,badminton,我 的 爱好 是 打 羽毛球。,Wǒ de àihào shì dǎ yǔmáoqiú.,My hobby is playing badminton.
烤鸭,kǎoyā,roast duck,烤鸭是知名的北京美食。,Kǎoyā shì zhīmíng de Běijīng měishí.,Roast duck is a famous dish in Beijing.
寒假,hánjià,winter vacation,,,
长江,Chángjiāng,the Yangtze River; the Changjiang River,,,
预习,yùxí,(of students) prepare a lesson before class; preview,,,
填空,tiánkòng,fill in the blanks; fill a vacancy,,,
京剧,jīngjù,Beijing Opera,京剧是中国的国粹。,Jīngjù shì Zhōngguó de guócuì.,Beijing opera is the quintessence of Chinese culture.
